content_key,item_type,difficulty,basis,authored_difficulty
apstat-summary_stats-090007,mcq,Easy,descriptive cues=1,Easy
apstat-summary_stats-090008,mcq,Easy,descriptive cues=1,Easy
apstat-summary_stats-090009,mcq,Easy,descriptive cues=1,Easy
apstat-summary_stats-090010,mcq,Easy,descriptive cues=1,Easy
apstat-summary_stats-090011,mcq,Easy,descriptive cues=1,Easy
apstat-summary_stats-090012,mcq,Easy,descriptive cues=1,Easy
apstat-summary_stats-090013,mcq,Easy,descriptive cues=1,Easy
apstat-summary_stats-090014,mcq,Easy,descriptive cues=1,Easy
apstat-summary_stats-090015,mcq,Easy,descriptive cues=1,Easy
apstat-summary_stats-090016,mcq,Easy,descriptive cues=1,Easy
apstat-summary_stats-090017,mcq,Easy,descriptive cues=1,Easy
apstat-summary_stats-090018,mcq,Easy,descriptive cues=1,Easy
apstat-summary_stats-090019,mcq,Easy,descriptive cues=1,Easy
apstat-u1-11-2a-sampling-101000,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-11-2a-sampling-101001,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-11-2a-sampling-101002,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-11-2a-sampling-101003,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-11-2a-sampling-101004,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-11-2a-sampling-101005,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-11-2a-sampling-101006,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-11-2a-sampling-101007,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-11-2a-sampling-101008,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-11-2a-sampling-101009,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-11-2a-sampling-101010,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-11-2a-sampling-101011,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-11-2a-sampling-101012,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-11-2a-sampling-101013,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-11-2a-sampling-101014,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-11-2a-sampling-101015,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-11-2a-sampling-101016,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-11-2a-sampling-101017,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-11-2a-sampling-101018,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-11-2a-sampling-101019,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-12-2a-bias-101200,mcq,Hard,hard cues=1,Medium
apstat-u1-12-2a-bias-101201,mcq,Hard,hard cues=1,Medium
apstat-u1-12-2a-bias-101202,mcq,Hard,hard cues=1,Medium
apstat-u1-12-2a-bias-101203,mcq,Hard,hard cues=1,Medium
apstat-u1-12-2a-bias-101204,mcq,Hard,hard cues=1,Medium
apstat-u1-12-2a-bias-101205,mcq,Hard,hard cues=1,Medium
apstat-u1-12-2a-bias-101206,mcq,Hard,hard cues=1,Medium
apstat-u1-12-2a-bias-101207,mcq,Hard,hard cues=1,Medium
apstat-u1-12-2a-bias-101208,mcq,Hard,hard cues=1,Medium
apstat-u1-12-2a-bias-101209,mcq,Hard,hard cues=1,Medium
apstat-u1-12-2a-bias-101210,mcq,Hard,hard cues=1,Medium
apstat-u1-12-2a-bias-101211,mcq,Hard,hard cues=1,Medium
apstat-u1-12-2a-bias-101212,mcq,Hard,hard cues=1,Medium
apstat-u1-12-2a-bias-101213,mcq,Hard,hard cues=1,Medium
apstat-u1-12-2a-bias-101214,mcq,Hard,hard cues=1,Medium
apstat-u1-12-2a-bias-101215,mcq,Hard,hard cues=1,Medium
